"Modulo_Macula","Modulo_Periferia","Jaccard"
"yellow","magenta",0.535071942446043
"greenyellow","black",0.532461777088411
"brown","purple",0.52967032967033
"red","purple",0.527500996412913
"turquoise","purple",0.524178282567544
"magenta","magenta",0.521362353889561
"pink","purple",0.519950382468472
"brown","magenta",0.518271827182718
"red","pink",0.516142470318684
"blue","purple",0.514393666786614
"green","magenta",0.513678373382625
"black","purple",0.513107004727116
"magenta","pink",0.509486250266468
"greenyellow","turquoise",0.508543393672813
"greenyellow","brown",0.507805153281926
"greenyellow","yellow",0.506957424714434
"greenyellow","blue",0.506669207317073
"greenyellow","green",0.506342274901227
"greenyellow","red",0.503230118066385
"brown","pink",0.490086045641601
"greenyellow","magenta",0.487064910630292
"black","pink",0.486377847253238
"greenyellow","purple",0.485245121370776
"blue","pink",0.48036866359447
"pink","pink",0.478039465308721
"yellow","pink",0.47612076852699
"turquoise","pink",0.472705146036161
"green","pink",0.47010662604722
"greenyellow","pink",0.467418546365915
"cyan","pink",0.430494585894059
"greenyellow","darkturquoise",0.398532317245272
"pink","greenyellow",0.394076418720326
"cyan","black",0.391578947368421
"cyan","magenta",0.391530267601975
"cyan","purple",0.389723320158103
"black","greenyellow",0.388664927673702
"greenyellow","greenyellow",0.385311044121677
"red","greenyellow",0.382629107981221
"cyan","steelblue",0.382270497547302
"cyan","yellow",0.382197802197802
"cyan","red",0.378397711015737
"greenyellow","steelblue",0.377453729669097
"cyan","blue",0.374801901743265
"cyan","green",0.373823593784198
"magenta","greenyellow",0.373797025371829
"black","darkturquoise",0.369172216936251
"red","darkturquoise",0.368884120171674
"magenta","steelblue",0.368867082961641
"black","midnightblue",0.367437284800787
"magenta","darkturquoise",0.362353978399824
"cyan","darkturquoise",0.362021857923497
"red","steelblue",0.359948486799742
"cyan","greenyellow",0.359946773120426
"pink","darkturquoise",0.358870967741935
"black","steelblue",0.357974803898265
"blue","greenyellow",0.355897243577724
"green","greenyellow",0.355729676787463
"cyan","brown",0.35498750720738
"cyan","cyan",0.353746397694524
"brown","greenyellow",0.353607857952399
"lightgreen","white",0.352750809061489
"lightgreen","darkred",0.349518627040603
"black","cyan",0.348791798877227
"yellow","greenyellow",0.347987386384715
"pink","steelblue",0.344119616157108
"brown","darkturquoise",0.343856979840243
"brown","steelblue",0.343600535680122
"turquoise","greenyellow",0.34319733846962
"green","darkturquoise",0.342980901752313
"blue","darkturquoise",0.342684993409904
"greenyellow","darkred",0.342639593908629
"greenyellow","cyan",0.342329545454545
"blue","steelblue",0.341915940931465
"cyan","turquoise",0.341772151898734
"pink","cyan",0.339453752582052
"pink","midnightblue",0.338349293205654
"yellow","darkturquoise",0.337625979843225
"red","cyan",0.335867912231154
"greenyellow","sienna3",0.334377670179436
"green","steelblue",0.333989372170833
"black","darkred",0.332215568862275
"lightgreen","midnightblue",0.33195535345184
"greenyellow","white",0.331443914081146
"greenyellow","thistle1",0.329500756429652
"red","midnightblue",0.329105760963027
"magenta","darkred",0.327494456762749
"greenyellow","midnightblue",0.327475592747559
"yellow","steelblue",0.326135517498139
"cyan","darkred",0.324720670391061
"red","darkred",0.324127595803896
"magenta","midnightblue",0.323822163238222
"black","sienna3",0.323522316043426
"lightgreen","pink",0.323322096230463
"turquoise","darkturquoise",0.323138762670395
"pink","darkred",0.321332133213321
"magenta","cyan",0.317467345583352
"turquoise","steelblue",0.317465873293665
"lightgreen","steelblue",0.315789473684211
"lightgreen","greenyellow",0.315632011967091
"green","midnightblue",0.315528196981732
"lightgreen","purple",0.315436241610738
"green","darkred",0.315141893232784
"pink","thistle3",0.315068493150685
"lightgreen","magenta",0.313031550068587
"red","sienna3",0.312916398022781
"lightgreen","red",0.312594458438287
"cyan","midnightblue",0.312564901349948
"black","paleturquoise",0.31243830207305
"magenta","sienna3",0.309771770440948
"cyan","orange",0.309769658459095
"brown","midnightblue",0.308073115003808
"saddlebrown","purple",0.306387789711702
"greenyellow","paleturquoise",0.305868748193119
"brown","darkred",0.305223171889839
"yellow","midnightblue",0.304941969299888
"greenyellow","ivory",0.304411764705882
"blue","cyan",0.304290304290304
"saddlebrown","darkred",0.304275633042756
"saddlebrown","paleturquoise",0.303643724696356
"yellow","darkred",0.303364485981308
"brown","cyan",0.303336510962822
"cyan","white",0.303019008572493
"saddlebrown","pink",0.3029836973239
"blue","midnightblue",0.302836746195754
"greenyellow","blue2",0.301270941652224
"black","lightcyan",0.300939663699308
"blue","darkred",0.300281162136832
"black","white",0.300074092368486
"yellow","sienna3",0.299359457422758
"greenyellow","thistle3",0.298630918425556
"saddlebrown","midnightblue",0.298593879239041
"greenyellow","lightcyan",0.298398835516739
"yellow","cyan",0.297848456501403
